序号,学号,实验结论为空,结论跑题,提到变频器多频率，改变频率多个值之类的,变频器一定，流量值稳定,频率越大，流量值越大,流量计能反映瞬时流量值，数据准确,总分,content,isTrain
1,8016121,0,0,0,0,0,1,17,由以上对实验数据的分析可知，该涡街流量计在频率至少为25Hz时，流量测量的准确度较高，且随着流量增大误差随之逐渐减小。,1
2,8016228,0,0,1,0,0,1,18,涡街流量计的精度较高，在变频器分别为20Hz、25Hz、30Hz时，误差均非常小，且具有响应速度快，稳定时间短的优点，因此认为涡街流量计在本次实验的环境下十分可靠。,0
3,8016329,0,0,0,0,0,0,15,可以看出虽然数据有点小波动，但大致情况还是不错的。因而，当变频器的频率为30Hz时，其流量为1푚푚3/h。,1
4,8016322,0,0,0,0,0,1,17,涡街流量计能正确显示瞬时流量值，且在一定时间内（约20s），和实际流量的误差低于1%，精确度恒高。,1
5,8016105,0,0,0,0,0,1,17,流量计的测量值大致符合实际流量值，但是存在误差。,1
6,8016129,0,0,1,0,1,0,17,变频器频率越大时，容器质量上升的斜率就越大，此时涡街流量计的值就越高，仿真得到的实验结果和理论是一致的。,1
7,8016102,0,0,1,1,1,1,20,1.涡街流量计能正确显示瞬时流量值。2.当变频器频率固定时，“容器质量_时间”曲线图的斜率与涡街流量计的流量平均值之间的差满足一定误差范围。3.利用涡街流量计显示瞬时流量值，其容器质量与时间成线性关系，灵敏度不错。,0
8,8016202,0,0,1,1,1,0,18,由实验数值和实验曲线观察，变频器频率越大时，容器质量上升的斜率就越大，此时涡街流量计的值就越高。变频器频率一定时，瞬时流量值为稳定值。实验结论与理论知识相吻合，证明实验正确。,1
9,8016203,0,0,1,1,1,0,18,变频器频率一定时，瞬时流量值为稳定值。实验中改变变频器频率时，可以得到不同的瞬时流量值。,1
10,8016320,0,0,0,0,0,1,17,涡街流量计读数稳定，但不同的设备实验效果有较大差异。能准确反应流体的变化情况和变化趋势。,1
11,8016307,0,0,0,0,0,1,17,由该实验可知，涡街流量计能够准确地实时测量管道内液体的流量，其特点是压力损失小，量程范围大，精度高，在测量工况体积流量时几乎不受流体密度、时间频率质量(kg)实际流量(m3/h)涡街流量(m3/h)00:35308.150.720.7500:37308.450.720.7500:39308.850.720.7501:004515.151.261.3101:024515.81.381.3101:044516.51.41.301:054517.0400011.411.3压力、温度、粘度等参数的影响。可靠性高。,1
12,8016309,0,0,0,0,0,1,17,实验目的是：验证涡街流量计能正确显示瞬时流量值（参考标准是上水箱中水的质量随时间的变化情况）。由实验的结果来看，变频器频率为30时，水体积_时间曲线为y=0.90*x+(-5.84)结果良好，可以很好地反应出涡街流量计能正确显示瞬时流量值01:163017.3700010.9601:173017.760.9601:183017.9400010.9601:193018.10.9601:203018.480.9601:213018.680.96,1
13,8016316,0,0,0,0,0,1,17,由数据可知，变频器频率为30Hz，稳定时的流量为0.96~0.97푚3/ℎ，比较稳定，质量与时间的线性关系比较好，实验较为成功。,0
14,8016119,1,0,0,0,0,0,0,,1
15,8016233,0,0,1,0,0,1,18,涡街流量计能够比较准确得测量出瞬时流量值，但是需要在流量稳定时测量结果比较准确。在实验过程中，当我们刚改变变频器的频率时，由于流量还不稳定，导致涡街流量计的读数也不很稳定。,1
16,8016308,0,0,1,1,1,0,18,理论上变频器频率越大时，容器质量上升的斜率就越大，此时涡街流量计的值就越高。变频器频率一定时，瞬时流量值为稳定值。,1
17,8016112,0,0,1,0,1,0,17,变频器频率越大时，容器质量上升的斜率就越大，此时涡街流量计的值就越高。051015202530350:320:340:360:380:400:420:440:460:480:500:520:540:560:581:001:021:04图表标题频率质量(kg)涡街流量(m3/h),1
18,8016227,0,0,0,0,0,1,17,实验结论就是涡街流量计可以很好的跟踪管道内流体的流量，当流量保持恒定时，测得的流量值也是一定的，当然存在一定的波动，这个由误差产生。那么实验主要是验证了实验原理以及这个流量计的使用。,1
19,8016332,0,0,0,1,0,0,16,在变频器频率一定时，瞬时流量值基本为稳定值。即单位时间的传输水的质量大致是稳定的。所以，在涡街流量计流量大致稳定的时候，上水箱的水的质量是基本与时间成正比的。,0
20,8016205,1,0,0,0,0,0,0,,1
21,8016134,0,0,1,0,0,1,18,1.变频器频率为30时，水体积_时间曲线为y=0.37*x+(-10.97);2.变频器频率为35时，水体积_时间曲线为y=0.57*x+(-33.93);3.变频器频率为40时，水体积_时间曲线为y=0.67*x+(-46.79);4.变频器频率为44时，水体积_时间曲线为y=0.88*x+(-82.79);为此实验为验证性实验，从实验结果中我们可以看出，涡街流量计测得的涡街流量十分接近真实值。涡街流量计能正确显示瞬时流量值。,1
22,8016214,0,0,0,0,0,1,17,验证结果表明，涡街流量计示数正确，当抽水上去时显示液体流量，关闭抽水机时液体瞬时流量为0，流量与电机频率成正相关。,0
23,8016231,0,0,1,0,0,1,18,当变频器频率30HZ时，涡街流量计稳定时读数为0.89m3/h，水体积-时间直线的斜率为0.8856m3/h。当变频器频率35HZ时，涡街流量计稳定时读数为1.05m3/h，水体积-时间直线的斜率为1.053257m3/h。当变频器频率35HZ时，涡街流量计稳定时读数为0.48m3/h，水体积-时间直线的斜率为0.475199m3/h。为此实验为验证性实验，从实验结果中我们可以看出，涡街流量计测得的涡街流量十分接近真实值。涡街流量计能正确显示瞬时流量值。,0
24,8016334,0,0,1,0,0,1,18,当变频器频率30HZ时，涡街流量计稳定时读数为1.04m3/h，体积-时间直线的斜率为0.9936m3/h。当变频器频率35HZ时，涡街流量计稳定时读数为1.4m3/h，体积-时间直线的斜率为1.37417m3/h。从实验结果中我们可以看出，涡街流量计测得的涡街流量十分接近真实值。验证了涡街流量计能正确显示瞬时流量值。,1
25,8016330,0,0,0,1,0,1,18,变频器频率一定时，涡街流量计现实的值为稳定值，而且，根据称重计得到的质量变化是一条直线，其斜率反映出质量的变化是匀速的，可知此时流量也是稳定的。而且，“容器质量_时间”曲线图的斜率与涡街流量计的瞬时流量平均值（此处流量值是固定值）之间的差满足在一定误差范围内，涡街流量计能正确显示瞬时流量值得到验证。,1
26,8016132,0,1,0,0,0,0,14,涡街流量计算选型时需要用户提供的工艺参数要准确，工艺条件要清楚，否则容易造成流量测量的误差。要明确4个工艺参数：（1）流体名称、组分；（2）工作状态的最大、常用、最小流量；（3）最高、常用、最低工作压力和工作温度；（4）工作状态介质的粘度。涡街流量计不适用于测量雷诺数（Re）低于2x104的流体。低雷诺数时仪表线性度变差，流体粘度高会显著影响甚至阻碍旋涡的产生，选型的一个限制条件是不能使用于界限雷诺数之下，在高牯度、低流速、小口径情况下应用受到限制。与涡轮流量计相比仪表系数较低，分辨率低，口径愈大愈低，一般满管式流量计用于DN300以下。关注了工艺参数后，涡街流量计公称直径的选择也很重要。首先应考虑工艺管道与涡街流量计公称直径应尽量一致。同时还应进行流量或流速的验算，使实际流量落在传感器的测量范围内，并最好在测量上限的30%～70%之间。但常常有这样的情况，一些工艺管道小流量用大管道、大流量用小管道，低于仪表的下限或超出上限值，这时就要根据实际流量选择涡街流量计公称直径，采用收缩管或扩大管的方法保证使流量在测量上限的30%～70%之间，并应连接异形管并配置必要长度的直管段。,1
27,8016124,0,1,0,0,0,0,14,涡街流量计实际使用时在数据未稳定时可能存在误差，可以通过算法对测得流量数据进行滤波。涡街流量计不适用于测量雷诺数（Re）低于2x104的流体。低雷诺数时仪表线性度变差，流体粘度高会显著影响甚至阻碍旋涡的产生，选型的一个限制条件是不能使用于界限雷诺数之下，在高牯度、低流速、小口径情况下应用受到限制。与涡轮流量计相比仪表系数较低，分辨率低，口径愈大愈低，一般满管式流量计用于DN300以下。涡街流量计公称直径的选择很重要。首先应考虑工艺管道与涡街流量计公称直径应尽量一致。同时还应进行流量或流速的验算，使实际流量落在传感器的测量范围内，并最好在测量上限的30%～70%之间。但常常有这样的情况，一些工艺管道小流量用大管道、大流量用小管道，低于仪表的下限或超出上限值，这时就要根据实际流量选择涡街流量计公称直径，采用收缩管或扩大管的方法保证使流量在测量上限的30%～70%之间，并应连接异形管并配置必要长度的直管段。,0
28,8016128,1,0,0,0,0,0,0,,1
29,8016220,0,0,0,0,0,1,17,虽然无法获得获得理论上进入水箱水的流速，但是根据测量的质量折算成流速与实际测量的流速比较，可以发现涡街流量计的流速测量还是比较准确的，可以验证涡街流量计的作用。,1
30,8016219,0,0,0,1,0,0,16,变频器频率一定时，瞬时流量值为稳定值。,1
31,8016206,0,0,0,1,0,0,16,变频器频率一定时，瞬时流量值为稳定值。,0
32,8016310,0,0,0,0,0,1,17,实验目的是：验证涡街流量计能正确显示瞬时流量值（参考标准是上水箱中水的质量随时间的变化情况）。将时间单位整理为小时h，由质量取水密度1000kg/m3，由记录数据画出水体积-时间曲线，得到拟合直线为푦=0.6334푥−0.0006，可知水流量约为0.6334m3/h，与传感器测得数值相差不大，实验数据良好。,1
33,8016328,0,0,0,0,0,1,17,由曲线可以看出，在我等待流速稳定了之后，水箱质量的变化相对于时间已经近似于线性关系，说明涡街流量计的测量精度较高，测量数据较为准确。,1
34,8016125,0,0,1,1,0,0,17,第5节心得与体会............................................................................................1I第1节实验原理1.1传感器介绍涡街流量计是根据卡门（Karman）涡街原理研究生产的，主要用于工业管道介质流体的流量测量，如气体、液体、蒸汽等多种介质。其特点是压力损失小，量程范围大，精度高，在测量工况体积流量时几乎不受流体密度、压力、温度、粘度等参数的影响。无可动机械零件，因此可靠性高，维护量小。仪表参数能长期稳定。涡街流量计采用压电应力式传感器，可靠性高，可在-20°C～+250°C的工作温度范围内工作。有模拟标准信号，也有数字脉冲信号输出，容易与计算机等数字系统配套使用，是一种比较先进、理想的测量仪器。在流体中设置三角柱型旋涡发生体，则从旋涡发生体两侧交替地产生有规则的旋涡，这种旋涡称为卡门旋涡，旋涡列在旋涡发生体下游非对称地排列。涡街流量计是根据卡门涡街原理(KármánVortexStreet)测量气体、蒸汽或液体的体积流量、标况的体积流量或质量流量的体积流量计。并可作为流量变送器应用于自动化控制系统中。涡街流量计是应用流体振荡原理来测量流量的，流体在管道中经过涡街流量变送器时，在三角柱的旋涡发生体后上下交替产生正比于流速的两列旋涡，旋涡的释放频率与流过旋涡发生体的流体平均速度及旋涡发生体特征宽度有关，可用下式表示：式中：f为旋涡的释放频率，单位为Hz；v为流过旋涡发生体的流体平均速度，单位为m/s；d为旋涡发生体特征宽度，单位为m；St为斯特劳哈尔数（Strouhalnumber），无量纲，它的数值范围为0.14－0.27。St是雷诺数的函数，。当雷诺数Re在范围内，St值约为0.2。在测量中，要尽量满足流体的雷诺数在，此时旋涡频率。由此，通过测量旋涡频率就可以计算出流过旋涡发生体的流体平均速度v，再由式可以求出流量q，其中A为流体流过旋涡发生体的截面积。1.2实验原理涡街流量计能正确显示瞬时流量值，参考标准是上水箱中水的质量随时间的变化情况。变频器频率一定时，瞬时流量值为稳定值。实验中改变变频器频率时，可以得到不同的瞬时流量值。由于涡街流量计接入实验台的位置是进水通道上，因此当实验中的出水阀处于关闭状态时，上水箱的质量变化才能作为标准来判断涡街流量计显示的瞬时流量值是否正确。因此该实验正确的数据记录时刻是每一次抽水进程（出水阀关闭）中。第2节实验步骤2.1实验操作点击开始实验，变频器和进水阀打开，实验台开始抽水至上水箱，上水箱的质量设定了超重保护（25kg），容器（上水箱）质量超重后，实验台会自动打开出水阀和关闭变频器。等待水放完后，再打开变频器和进水阀，可以再进行下一轮抽水进程。数2.2数据记录实验数据已存到数据库第3节实验数据分析与处理3.1曲线图分析3.2数据处理,1
35,8016229,0,0,0,0,0,0,15,实验过程0：31之前为30Hz的涡街流量和实际液位，后半部分为39Hz的涡街流量和实际液位。可以看出，同一频率下，涡街流量计流量稳定；不同频率时，频率越高，流量越大。可以验证涡街流量计的特性。,1
36,8016218,0,0,1,1,1,1,20,变频器频率一定时，瞬时流量值为稳定值。实验中改变变频器频率时，可以得到不同的瞬时流量值。经过分析，涡街流量计能正确显示瞬时流量值，参考标准是上水箱中水的质量随时间的变化情况。,1
37,8016221,0,0,0,0,0,1,17,涡街流量计能正确显示瞬时流量值。,1
38,8016223,0,0,0,0,0,1,17,该实验用来验证涡街流量计能正确显示瞬时流量值。从本次实验所得到的数据曲线来看，尽管由于实验仪器和一些原因误差较大，可以验证涡街流量计是能够正确显示瞬时流量值的。,1
39,8016215,0,0,1,1,1,1,20,1.变频器频率一定时，瞬时流量值为稳定值。改变变频器频率时，可以得到不同的瞬时流量值。变频器频率越高，流量越大。2.涡街流量计能正确显示瞬时流量值。,1
40,8016204,0,0,0,0,0,1,17,"涡街流量计可以正确反映水箱流量变化,其灵敏度较低,测量值较为稳定,相比于超声波流量计,更适合于精度要求偏低且对采值稳定性要求较高的场合.",0
41,8016126,0,1,0,0,0,0,14,涡街流量计实际使用时在数据未稳定时可能存在误差，测量水流时压力损失小，量程范围大，精度高，在测量工况体积流量时几乎不受流体密度、压y=0.2126x+16.79316.51717.51818.51919.52002468101214质量/Kg时间/s容器质量时间曲线30Hz00:40208.60.6400:41208.820.64力、温度、粘度等参数的影响。无可动机械零件，因此可靠性高，维护量小。仪表参数能长期稳定。涡街流量计采用压电应力式传感器，可靠性高，可在-20°C～+250°C的工作温度范围内工作。,1
42,8016226,0,0,0,0,0,1,17,涡衔流量计能够较为准确地测量流体的瞬时流量，测量误差较小，且测量简便。,1
43,8018236,0,0,0,1,0,0,16,变频器频率一定时，瞬时流量值为稳定值。,1
44,8016120,0,1,0,0,0,0,14,涡街流量计实际使用时在数据未稳定时可能存在误差，可以通过算法对测得流量数据进行滤波。涡街流量计不适用于测量雷诺数（Re）低于2x104的流体。低雷诺数时仪表线性度变差，流体粘度高会显著影响甚至阻碍旋涡的产生，选型的一个限制条件是不能使用于界限雷诺数之下，在高牯度、低流速、小口径情况下应用受到限制。与涡轮流量计相比仪表系数较低，分辨率低，口径愈大愈低，一般满管式流量计用于DN300以下。涡街流量计公称直径的选择很重要。首先应考虑工艺管道与涡街流量计公称直径应尽量一致。同时还应进行流量或流速的验算，使实际流量落在传感器的测量范围内，并最好在测量上限的30%～70%之间。但常常有这样的情况，一些工艺管道小流量用大管道、大流量用小管道，低于仪表的下限或超出上限值，这时就要根据实际流量选择涡街流量计公称直径，采用收缩管或扩大管的方法保证使流量在测量上限的30%～70%之间，并应连接异形管并配置必要长度的直管段。,1
45,8016325,0,0,0,0,0,1,17,由拟合曲线可知，水体积的上升速率为0.88m^3/h，这与涡街流量计测得的值相同，可验证涡街流量计的测量结果较为准确。,1
46,8016315,0,0,0,0,0,1,17,涡街流量计能正确显示瞬时流量值。虽然无法获得获得理论上进入水箱水的流速，但是根据测量的质量折算成流速与实际测量的流速比较，可以发现涡街流量计的流速测量还是比较准确的，可以验证涡街流量计的作用。,1
47,8016312,0,0,0,0,0,0,15,“容器质量——时间”曲线图的斜率与涡街流量计的瞬时流量平均值之间的差满足在一定误差范围，即实验数据正确。,1
48,8016314,0,0,0,0,0,1,17,虽然涡街流量计存在压力损失，但由于其压力损失小，量程范围大，精度高的点，测量数据仍较为精确，在只取10组数据的情况下进行直线拟合所算出来的平均流量，与流量计显示的实际流量之间误差也不超过5%，实验效果较为理想。,1
49,8016211,0,0,1,0,0,1,18,当出水阀处于关闭状态时，上水箱的质量变化可以作为标准来判断超声波热能表显示的瞬时流量值是否正确，在流速较为平稳，可认为瞬时流量和平均流量相同，使用上水箱的质量变化计算平均流量作为标准，比较涡街流量和平均流量的大小，即可验证涡街流量计。由实验记录数据，19Hz时涡街流量值为0.5푚3/ℎ，32Hz时涡街流量计值为1.04푚3/ℎ，而与之对应的计算得到的平均流量为0.52푚3/ℎ、1.07푚3/ℎ，与涡街流量相近，涡街流量计得到验证。,1
50,8016207,0,0,0,0,0,1,17,涡街流量计能够较为准确的测量出管道内液体的流量。,1
51,8016133,1,0,0,0,0,0,0,,1
52,8016324,0,0,0,0,0,1,17,“容器质量——时间”曲线图的斜率与涡街流量计的瞬时流量平均值之间的差满足在一定误差范围，即实验数据正确。,1
53,8016323,0,0,0,0,0,1,17,K=19.35kg/sF=30hz涡街流量计读数稳定为0.7m3/h，偏差较小，说明读数正确。IV,1
54,8016326,0,0,0,0,0,0,15,传感器测得值跟实际值十分接近，但需要流量稳定,1
55,8016212,0,0,0,0,0,1,17,通过对数据的分析和对图像趋势的分析，验证得出涡街流量计所测得数据的准确性，当变频器频率固定时，“容器质量_时间”曲线图的斜率与涡街流量计的瞬时流量平均值之间的差满足在一定误差范围。,0
56,8016303,0,0,1,1,1,1,20,该实验用来验证涡街流量计能正确显示瞬时流量值，参考标准是上水箱中水的质量随时间的变化情况。变频器频率一定时，瞬时流量值为稳定值。实验中改变变频器频率时，可以得到不同的瞬时流量值。理论上变频器频率越大时，容器质量上升的斜率就越大，此时涡街流量计的值就越高。,1
57,8016302,1,0,0,0,0,0,0,,0
58,8016319,0,1,0,0,0,0,14,线性拟合后发现曲线斜率值与1相差不大，说明时间与液位的线性度较好。,1
59,8016116,0,0,0,0,0,1,17,当流量计的数值保持稳定时，水的质量也稳定变化，并且变化率与流量计的数值是相等的。验证了涡街流量计能够正确地显示瞬时流量值。,1
60,8016111,0,0,0,0,0,1,17,经实验验证，涡街流量计确实能正确显示瞬时流量值；,1
61,8016103,0,0,0,0,1,0,16,变频器频率越大时，容器质量上升的斜率就越大，此时涡街流量计的值就越高。,1
62,8016230,0,0,0,0,0,1,17,再误差允许的范围内，涡衔流量计确实能够准确反映流量的大小。,1
63,8016313,0,0,0,0,0,0,15,变频器频率为30，涡街流量为0.71-0.72（m3/h）时，水箱质量跟时间呈线性关系，且线性函数为：y=0.1911x+3.2855。,0
64,8016101,0,0,1,1,1,1,20,1.变频器频率一定时，瞬时流量值为稳定值。改变变频器频率时，可以得到不同的瞬时流量值。变频器频率越高，流量越大。2.涡街流量计能正确显示瞬时流量值。,1
65,8016304,0,1,0,0,0,0,14,由实验实际图像数据及拟合后的曲线可以看出，在变频器频率固定不变时，液位高度与时间呈斜率不变的一次函数关系。即可验证涡街流量计作用。第5节心得与体本次实验学习体会了涡街流量计的应用及功能，通过实验加深了对涡街流量计的理解，进一步深化了通过涡街流量计检测流量的认识与概念理解。,1
66,8016318,1,0,0,0,0,0,0,,1
67,8016109,0,0,0,0,0,0,15,从实验结果看，涡街流量计误差超过2%，和书上的0.5-1%的测量精度比，误差偏大，可能是测量的数据量不够导致的。5,1
68,8016301,0,0,0,0,0,1,17,由实验数据以及后续分析可发现，容器质量与进水时间成正比，且漩涡的释放频率越大，斜率越大；同时随着频率的增大，涡街流量计的流量平均值也随之增大，这与理论相符。,0
69,8016305,0,0,1,1,1,1,20,实验结果表明，频率计频率越高，水的流量越大。在不改变频率的情况下，水的质量是随时间线性变化得。涡街流量计可以较好地测量得到瞬时流量值，且测量结果较为准确。,1
70,8016201,0,0,0,0,1,1,18,变频器频率越高，水的流量越大，则水上涨速度越快，即水体积_时间曲线斜率越大。由数据分析处理得出，实验结果良好，涡街流量计误差较小。,1
71,8016104,0,0,0,0,0,1,17,通过以上步骤，我们对用涡街流量计进行流量的测量进行了验证。试验结果表明，当待测液体流速较大时，流量计测得的结果较精确。,1
72,8016306,1,0,0,0,0,0,0,,1
73,8016114,1,0,0,0,0,0,0,,0
74,8016131,0,0,0,0,0,1,17,当流量计的数值保持稳定时，水的质量也稳定变化，并且变化率与流量计的数值是相等的。验证了涡街流量计能够正确地显示瞬时流量值。,1
75,8016118,0,0,0,1,0,1,18,涡街流量计在当变频器频率一定，流量稳定时测得流量值接近不变，与理论上变频器频率一定时流量不变相符合，可见涡街流量计能能正确显示瞬时流量值。,1
76,8016115,0,0,0,0,0,0,15,可以看到，实验曲线非线性误差仅为1.60%，线性效果较好，达到了验证效果。第5节心得体会对比超声波流量计，其非线性误差更小，且更易得到平稳的数据。,1
77,8016117,0,0,1,1,1,1,20,涡街流量计能正确显示瞬时流量值，随着涡街流量计的增大，上水箱中水的质量随时间的变化增大，即斜率增大。变频器频率一定时，瞬时流量值为稳定值。变频器频率增大，涡街流量计测量值增大。,1
78,8016106,1,0,0,0,0,0,0,,1
79,8016107,0,0,1,1,1,0,18,理论上变频器频率越大时，容器质量上升的斜率就越大，此时涡街流量计的值就越高。变频器频率一定时，瞬时流量值为稳定值。,1
80,8016108,0,0,1,1,1,1,20,本实验验证涡街流量计能正确显示瞬时流量值，参考标准是上水箱中水的质量随时间的变化情况。变频器频率一定时，瞬时流量值为稳定值。实验中改变变频器频率时，可以得到不同的瞬时流量值。从实验数据可以看出，实验比较成功，时间NÁ)·CXGÿ(kg)#Ñ>‡#qGÿ(m3/h)00:19303.140.9700:20303.30.9700:21303.670.9700:22303.860.9700:23304.230.9700:24304.420.9700:25304.620.9700:263050.9700:473911.961.3100:483912.481.3100:493912.721.3100:503913.241.3100:513913.461.3100:523913.981.300:533914.241.300:543914.481.300:5539151.300:563915.261.3“容器质量_时间”曲线图的斜率与涡街流量计的瞬时流量平均值之间的差满足在一定误差范围内。,0
81,8016317,1,0,0,0,0,0,0,,1
82,8016113,0,0,0,1,0,1,18,通过此次实验，验证了涡街流量计能正确显示瞬时流量值，而且，变频器频率一定时，瞬时流量值为稳定值。,1
83,8016213,1,0,0,0,0,0,0,,1
84,8017231,0,0,1,0,0,0,16,变频器频率为30时，水体积_时间曲线为y=0.72*x+(-1.78)数据良好;变频器频率为32时，水体积_时间曲线为y=NaN*x+(NaN)数据良好;变频器频率为37时，水体积_时间曲线为y=NaN*x+(NaN)数据良好;变频器频率为40时，水体积_时间曲线为y=1.10*x+(-19.67)数据良好;,1
85,61516320,0,0,0,0,0,0,15,频率一定时，质量随时间变化曲线为一定值，即质量和时间成线性关系，流速保持一定,1
86,8016110,1,0,0,0,0,0,0,,0
87,8017331,1,0,0,0,0,0,0,,1
